onset	duration	trial	event	music_type	valence_rating
14.1109646967961	29.4743282842574	1	Music	tonal	0.28
43.5852929810535	57.8496873653639	1	Rating	tonal	0.28
64.9621847888593	29.4807438204734	2	Music	discord	0.24
94.4429286093327	115.629513186581	2	Rating	discord	0.24
123.773774255573	29.4831601190344	3	Music	atonal	0.23
153.256934374607	167.087483878626	3	Rating	atonal	0.23
175.2013215017	29.4804472621327	4	Music	discord	0.35
204.681768763832	215.826769425472	4	Rating	discord	0.35
223.941736688925	29.479973434587	5	Music	tonal	0.32
253.421710123512	275.858440413827	5	Rating	tonal	0.32
304.6623870533	29.473539311457	6	Music	discord	0.15
334.135926364757	343.779902943028	6	Rating	discord	0.15
350.99385355788	29.4793584019899	7	Music	atonal	0.12
380.47321195987	391.368898880817	7	Rating	atonal	0.12
399.484750825799	29.478311709172	8	Music	discord	0.11
428.963062534971	437.405947035066	8	Rating	discord	0.11
445.53814103693	29.4786496025881	9	Music	atonal	0.07
475.016790639518	482.775037610754	9	Rating	atonal	0.07
490.894968689376	29.4742556011079	10	Music	tonal	0.24
520.369224290484	540.204802525153	10	Rating	tonal	0.24
563.763273482549	29.4813735561511	11	Music	discord	0.12
593.2446470387	607.125294651101	11	Rating	discord	0.12
615.248179939063	29.4719963203461	12	Music	atonal	-0.08
644.720176259409	655.681116279997	12	Rating	atonal	-0.08
663.803840666329	29.4713710233373	13	Music	tonal	0.1
693.275211689666	728.256080763738	13	Rating	tonal	0.1
736.382117226822	29.4848506957715	14	Music	atonal	-0.16
765.866967922593	774.259814513713	14	Rating	atonal	-0.16
782.46558383571	29.4718356961348	15	Music	tonal	0.39
811.937419531845	826.085017367663	15	Rating	tonal	0.39
