onset	duration	trial	event	music_type	valence_rating
15.128009605327	29.4756855487612	1	Music	tonal	0.37
44.6036951540882	53.3303703226957	1	Rating	tonal	0.37
61.438403602886	29.4695876207152	2	Music	discord	0.11
90.9079912236011	101.736173965586	2	Rating	discord	0.11
108.860255607524	29.46911656472	3	Music	atonal	-0.06
138.329372172244	149.875142142118	3	Rating	atonal	-0.06
157.0167283136	29.4686288636367	4	Music	discord	0.34
186.485357177236	195.444657994762	4	Rating	discord	0.34
203.570856614497	29.468098717578	5	Music	atonal	-0.05
233.038955332075	244.668631249435	5	Rating	atonal	-0.05
267.817692730008	29.4733197268979	6	Music	tonal	0.32
297.291012456906	305.283647282813	6	Rating	tonal	0.32
312.397194248457	29.4799586203117	7	Music	atonal	0.04
341.877152868768	351.404410726427	7	Rating	atonal	0.04
359.518740566051	29.4810669057624	8	Music	tonal	0.27
388.999807471813	397.775971261701	8	Rating	tonal	0.27
405.890767996047	29.4788558832188	9	Music	discord	0.21
435.369623879265	445.080214344351	9	Rating	discord	0.21
453.212796632812	29.478319079124	10	Music	atonal	0.12
482.691115711936	491.017427684721	10	Rating	atonal	0.12
514.147468823056	29.476376874758	11	Music	tonal	0.57
543.623845697814	554.603009099039	11	Rating	tonal	0.57
562.745110158579	29.4855902084746	12	Music	discord	0.06
592.230700367054	603.541907754585	12	Rating	discord	0.06
611.660174157558	29.4760348181953	13	Music	tonal	0.34
641.136208975753	652.532418389826	13	Rating	tonal	0.34
660.673877781221	29.4686857343549	14	Music	discord	0.2
690.142563515576	701.070871733784	14	Rating	discord	0.2
709.188913428065	29.4771317295053	15	Music	atonal	0.03
738.66604515757	748.659503360504	15	Rating	atonal	0.03
