onset	duration	trial	event	music_type	valence_rating
14.1261102332319	29.4763116953436	1	Music	atonal	0.02
43.6024219285755	62.7372120662003	1	Rating	atonal	0.02
69.844592315254	29.4696075733336	2	Music	discord	0.03
99.3141998885876	115.813838133432	2	Rating	discord	0.03
122.926996200462	29.4806999185494	3	Music	tonal	0.42
152.407696119011	166.104865162979	3	Rating	tonal	0.42
174.235537561504	29.4804047440957	4	Music	atonal	0.37
203.7159423056	218.530863207725	4	Rating	atonal	0.37
226.638816883093	29.4700519995276	5	Music	discord	-0.13
256.10886888262	269.906395853355	5	Rating	discord	-0.13
292.05469798993	29.4741949838099	6	Music	tonal	0.67
321.52889297374	334.225033900675	6	Rating	tonal	0.67
341.337389947646	29.4816620097154	7	Music	discord	0.08
370.819051957362	388.602655515879	7	Rating	discord	0.08
395.739730203892	29.4736587317275	8	Music	atonal	0.47
425.213388935619	437.542694876171	8	Rating	atonal	0.47
445.656690472966	29.4807137895295	9	Music	tonal	0.53
475.137404262496	487.333309937614	9	Rating	tonal	0.53
494.465168304923	29.4784702972356	10	Music	discord	0.05
523.943638602159	536.840521460072	10	Rating	discord	0.05
559.962533650996	29.4847175091745	11	Music	tonal	0.66
589.447251160171	601.526437810295	11	Rating	tonal	0.66
609.637986566235	29.4664155834362	12	Music	atonal	0.34
639.104402149671	651.367030567202	12	Rating	atonal	0.34
659.476105572583	29.4690668825351	13	Music	discord	-0.07
688.945172455118	703.892941557679	13	Rating	discord	-0.07
712.028364489404	29.4759948821629	14	Music	tonal	0.55
741.504359371567	753.633688781818	14	Rating	tonal	0.55
761.857788055866	29.4705968516209	15	Music	atonal	0.62
791.328384907487	802.759235021007	15	Rating	atonal	0.62
