onset	duration	trial	event	music_type	valence_rating
16.1124727334154	29.4741204992279	1	Music	discord	0.26
45.5865932326433	55.2646251949191	1	Rating	discord	0.26
62.3747057650216	29.4830635780581	2	Music	tonal	0.78
91.8577693430798	105.771024502266	2	Rating	tonal	0.78
112.884268176405	29.4809638118368	3	Music	discord	0.19
142.365231988242	151.775552773375	3	Rating	discord	0.19
159.889521059664	29.4794147175617	4	Music	atonal	0.3
189.368935777225	203.432934676437	4	Rating	atonal	0.3
211.594793389828	29.4825059706982	5	Music	tonal	0.32
241.077299360526	251.638372763016	5	Rating	tonal	0.32
274.765123573836	29.4796735472446	6	Music	atonal	0.18
304.24479712108	319.54312843251	6	Rating	atonal	0.18
327.658761773213	29.4785599970273	7	Music	tonal	0.4
357.13732177024	370.51760416369	7	Rating	tonal	0.4
378.639859993391	29.4718417993026	8	Music	discord	0.8
408.111701792694	419.840667996972	8	Rating	discord	0.8
427.968358140388	29.4829958884075	9	Music	tonal	0.8
457.451354028795	471.733124679064	9	Rating	tonal	0.8
478.855287851622	29.4704466712355	10	Music	discord	0.33
508.325734522858	520.539410495279	10	Rating	discord	0.33
543.668758757694	29.4757694634791	11	Music	atonal	0.33
573.144528221173	583.839221546836	11	Rating	atonal	0.33
590.977022692954	29.4729983490943	12	Music	tonal	0.48
620.450021042048	636.314813463692	12	Rating	tonal	0.48
644.435474980213	29.4734372221501	13	Music	atonal	0.77
673.908912202363	686.222460368957	13	Rating	atonal	0.77
694.342744876323	29.4731168059807	14	Music	discord	0.72
723.815861682304	790.288701071688	14	Rating	discord	0.72
803.650720853155	29.4705498702115	15	Music	atonal	0.22
833.121270723366	844.616823319195	15	Rating	atonal	0.22
