onset	duration	trial	event	music_type	valence_rating
16.1297784403832	29.4745676946404	1	Music	discord	0.42
45.6043461350237	57.8995175091586	1	Rating	discord	0.42
66.0339996249277	29.4778113025786	2	Music	atonal	0.23
95.5118109275063	104.787997540938	2	Rating	atonal	0.23
111.912833168913	29.4691110982894	3	Music	tonal	0.33
141.381944267203	150.292869056113	3	Rating	tonal	0.33
158.40116233908	29.4690711496442	4	Music	atonal	0.2
187.870233488724	196.079703925065	4	Rating	atonal	0.2
203.19128659046	29.4830304264397	5	Music	discord	0.37
232.674317016899	242.367829079725	5	Rating	discord	0.37
264.493591571721	29.48032723488	6	Music	atonal	0.33
293.973918806601	302.516961805766	6	Rating	atonal	0.33
309.671902898164	29.4731345370419	7	Music	discord	0.38
339.145037435206	347.32034456815	7	Rating	discord	0.38
355.46541473905	29.4831142076255	8	Music	tonal	0.41
384.948528946676	393.943022969361	8	Rating	tonal	0.41
402.099498200645	29.4706444049152	9	Music	discord	0.37
431.57014260556	440.963984355665	9	Rating	discord	0.37
449.086247734856	29.4728554513786	10	Music	tonal	0.55
478.559103186235	487.168523353866	10	Rating	tonal	0.55
510.3148840879	29.4781650145305	11	Music	atonal	0.43
539.793049102431	548.852507110303	11	Rating	atonal	0.43
556.966933342359	29.4804218354839	12	Music	tonal	0.42
586.447355177843	596.741964774174	12	Rating	tonal	0.42
604.85725267628	29.4793143703064	13	Music	discord	0.26
634.336567046586	644.665257829656	13	Rating	discord	0.26
652.780328788434	29.4789434582417	14	Music	tonal	0.4
682.259272246676	691.869958841799	14	Rating	tonal	0.4
699.014989896321	29.4823338219649	15	Music	atonal	0.44
728.497323718286	737.991159975452	15	Rating	atonal	0.44
