onset	duration	trial	event	music_type	valence_rating
15.1199162086268	29.4832845863421	1	Music	discord	0.53
44.6032007949689	53.6797901165337	1	Rating	discord	0.53
61.8939361111588	29.4801231292622	2	Music	atonal	0.48
91.374059240421	102.219338429873	2	Rating	atonal	0.48
110.327067937204	29.4695199306916	3	Music	discord	0.44
139.796587867895	149.340464181572	3	Rating	discord	0.44
157.446249820023	29.4718821461174	4	Music	atonal	0.99
186.91813196614	196.47887668958	4	Rating	atonal	0.99
204.587094730246	29.4692791317502	5	Music	tonal	0.46
234.056373861997	241.481895553734	5	Rating	tonal	0.46
264.617035082574	29.4713264775928	6	Music	atonal	0.55
294.088361560167	301.613867522297	6	Rating	atonal	0.55
309.719508071063	29.4721398675683	7	Music	discord	0.3
339.191647938631	347.885164704534	7	Rating	discord	0.3
355.99151377922	29.4711741750361	8	Music	tonal	0.34
385.462687954256	393.121827064748	8	Rating	tonal	0.34
400.22768677384	29.4705180811434	9	Music	atonal	0.93
429.698204854983	438.191306159486	9	Rating	atonal	0.93
446.296242066186	29.4727052457274	10	Music	tonal	0.83
475.768947311914	484.57881490856	10	Rating	tonal	0.83
507.699318688799	29.4694089634359	11	Music	discord	0.53
537.168727652235	545.094921944245	11	Rating	discord	0.53
553.202835657219	29.4694186730703	12	Music	tonal	0.51
582.672254330289	590.764881194296	12	Rating	tonal	0.51
598.871046340755	29.4715603410805	13	Music	atonal	0.41
628.342606681836	636.752347997746	13	Rating	atonal	0.41
644.869598495505	29.4770074461812	14	Music	tonal	0.82
674.346605941686	683.640284664296	14	Rating	tonal	0.82
691.812024800071	29.4726059300338	15	Music	discord	0.37
721.284630730104	730.029144994529	15	Rating	discord	0.37
