onset	duration	trial	event	music_type	valence_rating
18.1019023393819	29.4702057083232	1	Music	discord	0.79
47.5721080477051	64.7395975828003	1	Rating	discord	0.79
72.849566686742	29.4843282333713	2	Music	atonal	0.34
102.333894920113	120.067702508997	2	Rating	atonal	0.34
128.177697690244	29.4836879523136	3	Music	discord	0.46
157.661385642557	172.025619842276	3	Rating	discord	0.46
180.138032722578	29.4820159532064	4	Music	tonal	0.94
209.620048675784	231.55803850952	4	Rating	tonal	0.94
239.682934096269	29.4694835889168	5	Music	atonal	0.49
269.152417685185	285.55145010621	5	Rating	atonal	0.49
308.683045063524	29.4745636698208	6	Music	tonal	0.67
338.157608733345	355.958167841854	6	Rating	tonal	0.67
364.102809774107	29.4829855295902	7	Music	atonal	0.3
393.585795303698	406.248877635575	7	Rating	atonal	0.3
414.365277014491	29.4779897838016	8	Music	discord	0.85
443.843266798292	455.472049151835	8	Rating	discord	0.85
463.588271260563	29.4781298799571	9	Music	tonal	0.59
493.066401140521	503.060608649841	9	Rating	tonal	0.59
510.180679935205	29.4741761166842	10	Music	discord	0.48
539.65485605189	552.500940308772	10	Rating	discord	0.48
575.653481445028	29.4711608589641	11	Music	atonal	0.53
605.124642303992	622.091099122332	11	Rating	atonal	0.53
630.209645995041	29.4750804998075	12	Music	discord	0.83
659.684726494848	676.417774512873	12	Rating	discord	0.83
684.590362438474	29.4718302689253	13	Music	tonal	0.79
714.062192707399	726.041223225337	13	Rating	tonal	0.79
734.162196397061	29.4737538862792	14	Music	atonal	0.78
763.63595028334	778.51757513246	14	Rating	atonal	0.78
786.664469699976	29.4803938893638	15	Music	tonal	0.73
816.144863589339	839.533210973441	15	Rating	tonal	0.73
