onset	duration	trial	event	music_type	valence_rating
16.132024400591	29.4718585655755	1	Music	discord	0.39
45.6038829661666	63.5044182999445	1	Rating	discord	0.39
72.0749450642761	29.4744471541999	2	Music	atonal	0.35
101.549392218476	124.470584106661	2	Rating	atonal	0.35
131.577715777908	29.470425146068	3	Music	tonal	0.84
161.048140923976	180.499324625547	3	Rating	tonal	0.84
188.643357624991	29.4836568814826	4	Music	discord	0.4
218.127014506474	233.543009382003	4	Rating	discord	0.4
241.647995501389	29.4719248685105	5	Music	tonal	0.65
271.1199203699	289.15391269152	5	Rating	tonal	0.65
312.285732912362	29.4746948885986	6	Music	atonal	0.39
341.76042780096	358.593533327767	6	Rating	atonal	0.39
365.700564851068	29.4698245358013	7	Music	tonal	0.67
395.170389386869	411.687399973423	7	Rating	tonal	0.67
419.832463026407	29.4817965154616	8	Music	atonal	0.71
449.314259541869	462.094030322358	8	Rating	atonal	0.71
470.199680025922	29.4720166939151	9	Music	tonal	0.44
499.671696719837	515.437289491652	9	Rating	tonal	0.44
522.545214023932	29.4700847540153	10	Music	atonal	0.6
552.015298777947	567.980678936503	10	Rating	atonal	0.6
591.100243101515	29.4694386471747	11	Music	discord	0.46
620.56968174869	634.850690785031	11	Rating	discord	0.46
641.970735160834	29.4742660001612	12	Music	atonal	0.54
671.445001160995	690.346569045076	12	Rating	atonal	0.54
698.451058308576	29.4726109235635	13	Music	discord	0.54
727.923669232139	749.426901014715	13	Rating	discord	0.54
757.551675924573	29.4694353181585	14	Music	tonal	0.74
787.021111242731	809.225388087165	14	Rating	tonal	0.74
817.434587993845	29.4851474491261	15	Music	discord	0.38
846.919735442971	863.569477846358	15	Rating	discord	0.38
