onset	duration	trial	event	music_type	valence_rating
17.1173464363092	29.4712358416582	1	Music	discord	0.47
46.5885822779674	55.781931085643	1	Rating	discord	0.47
63.8942457257654	29.4820784219992	2	Music	atonal	0.48
93.3763241477645	102.71924668979	2	Rating	atonal	0.48
109.832221028402	29.4805437491377	3	Music	discord	0.48
139.31276477754	146.70483596727	3	Rating	discord	0.48
154.817922937342	29.4810836033284	4	Music	atonal	0.29
184.29900654067	192.775298868663	4	Rating	atonal	0.29
199.888982008655	29.4797827932998	5	Music	tonal	0.71
229.368764801955	242.833831436219	5	Rating	tonal	0.71
265.957982643107	29.4816442638257	6	Music	discord	0.43
295.439626906933	304.315444074462	6	Rating	discord	0.43
312.429154956189	29.4804768915492	7	Music	tonal	0.51
341.909631847739	350.570067165521	7	Rating	tonal	0.51
357.690530385938	29.4729316940211	8	Music	atonal	0.37
387.16346207996	397.958355492046	8	Rating	atonal	0.37
405.086962299261	29.4807590250057	9	Music	tonal	0.61
434.567721324267	448.798747848974	9	Rating	tonal	0.61
456.915609637144	29.4772252826006	10	Music	atonal	0.32
486.392834919745	496.888253233228	10	Rating	atonal	0.32
520.016761834697	29.4770677095294	11	Music	discord	0.4
549.493829544226	557.936739685691	11	Rating	discord	0.4
566.055451292865	29.4756004490846	12	Music	tonal	0.62
595.531051741949	608.244055986157	12	Rating	tonal	0.62
616.364425162086	29.4739639640393	13	Music	discord	0.45
645.838389126126	656.099372010307	13	Rating	discord	0.45
663.221272530107	29.4715651360675	14	Music	atonal	0.37
692.692837666174	700.318414659625	14	Rating	atonal	0.37
708.444555226444	29.4687934591639	15	Music	tonal	0.66
737.913348685608	754.329600682671	15	Rating	tonal	0.66
