onset	duration	trial	event	music_type	valence_rating
15.1292801803866	29.4737719184595	1	Music	discord	0.71
44.6030520988461	61.4529347648458	1	Rating	discord	0.71
68.8079234503493	29.4728445096298	2	Music	atonal	0.43
98.2807679599791	112.51164559722	2	Rating	atonal	0.43
119.617146882083	29.4705477648822	3	Music	discord	0.58
149.087694646965	162.951746444262	3	Rating	discord	0.58
171.057462450761	29.472020300349	4	Music	atonal	0.47
200.52948275111	216.895504910717	4	Rating	atonal	0.47
225.001127704723	29.4719920036987	5	Music	tonal	0.78
254.473119708422	269.338456229103	5	Rating	tonal	0.78
292.455585495136	29.472927457653	6	Music	atonal	0.84
321.928512952789	339.394934400319	6	Rating	atonal	0.84
347.499616469428	29.4727915227668	7	Music	discord	0.3
376.972407992194	393.773311931447	7	Rating	discord	0.3
400.91584742779	29.4832216124269	8	Music	tonal	0.63
430.399069040217	445.114744024897	8	Rating	tonal	0.63
453.218251783033	29.4732101467343	9	Music	discord	0.24
482.691461929768	497.105881625124	9	Rating	discord	0.24
505.228267687417	29.4720419389632	10	Music	tonal	0.88
534.70030962638	552.617693950648	10	Rating	tonal	0.88
574.749085283049	29.4749703648085	11	Music	atonal	0.56
604.224055647857	620.205629812684	11	Rating	atonal	0.56
628.335940878864	29.480759526472	12	Music	tonal	0.51
657.816700405336	672.664840330603	12	Rating	tonal	0.51
680.771080102542	29.471437999684	13	Music	discord	0.24
710.242518102226	722.088217302735	13	Rating	discord	0.24
729.195814481613	29.4699893221768	14	Music	atonal	0.35
758.665803803789	769.359818257828	14	Rating	atonal	0.35
777.466751852528	29.4707136609286	15	Music	tonal	0.58
806.937465513456	824.171687426326	15	Rating	tonal	0.58
