onset	duration	trial	event	music_type	valence_rating
15.1289192671211	29.4739337873434	1	Music	tonal	0.36
44.6028530544645	62.9373372231494	1	Rating	tonal	0.36
70.0437212938486	29.470874664461	2	Music	discord	0.27
99.5145959583097	115.414110693255	2	Rating	discord	0.27
122.533273891233	29.4756180110671	3	Music	atonal	0.28
152.0088919023	167.823504949749	3	Rating	atonal	0.28
175.928971866168	29.4725314234929	4	Music	discord	0.61
205.40150328966	218.24892887699	4	Rating	discord	0.61
226.35351581356	29.4735614881756	5	Music	tonal	0.81
255.827077301736	272.309260484024	5	Rating	tonal	0.81
294.442467849665	29.4730343880146	6	Music	atonal	0.82
323.91550223768	336.446077930927	6	Rating	atonal	0.82
343.551226645304	29.4712686024723	7	Music	tonal	0.73
373.022495247777	385.985865115625	7	Rating	tonal	0.73
394.091950403759	29.4720942077802	8	Music	discord	0.62
423.564044611539	439.162836775391	8	Rating	discord	0.62
447.270444828151	29.470518455717	9	Music	atonal	0.26
476.740963283868	488.486813618496	9	Rating	atonal	0.26
496.593817170593	29.4709123937355	10	Music	tonal	0.69
526.064729564328	537.1098856803	10	Rating	tonal	0.69
560.229431719446	29.4709703747503	11	Music	discord	0.48
589.700402094197	602.079860945432	11	Rating	discord	0.48
609.187101970023	29.4710566527283	12	Music	atonal	0.74
638.658158622751	649.219494216879	12	Rating	atonal	0.74
657.325008294894	29.4716553275393	13	Music	discord	0.1
686.796663622434	695.206430178096	13	Rating	discord	0.1
702.338427987579	29.4786149916144	14	Music	atonal	0.19
731.817042979194	739.52692982466	14	Rating	atonal	0.19
747.632587884244	29.4716212047388	15	Music	tonal	0.71
777.104209088982	785.947756328809	15	Rating	tonal	0.71
