onset	duration	trial	event	music_type	valence_rating
15.1130202664972	29.473938854564	1	Music	discord	0.47
44.5869591210612	55.4821835539351	1	Rating	discord	0.47
62.5920015402462	29.4847763383605	2	Music	tonal	0.92
92.0767778786067	102.804438416377	2	Rating	tonal	0.92
109.936009603234	29.4797469580008	3	Music	atonal	0.32
139.415756561235	149.109148012592	3	Rating	atonal	0.32
157.220406095625	29.4842905727346	4	Music	tonal	0.85
186.704696668359	197.849305848969	4	Rating	tonal	0.85
204.96370323743	29.4795244656925	5	Music	atonal	0.55
234.443227703123	244.038042300726	5	Rating	atonal	0.55
267.162438804213	29.4820182105232	6	Music	discord	0.59
296.644457014736	310.192473878655	6	Rating	discord	0.59
318.307612260825	29.4789504799264	7	Music	tonal	0.96
347.786562740752	357.598269609078	7	Rating	tonal	0.96
365.713019600686	29.4800155023313	8	Music	atonal	0.42
395.193035103017	404.436764329324	8	Rating	atonal	0.42
411.622936571106	29.4738034727106	9	Music	tonal	0.93
441.096740043817	450.173583948817	9	Rating	tonal	0.93
458.290350519708	29.4780671688186	10	Music	discord	0.39
487.768417688527	496.812075007096	10	Rating	discord	0.39
518.977395669279	29.47515840093	11	Music	tonal	0.3
548.452554070209	556.662087726887	11	Rating	tonal	0.3
564.780082721642	29.4760400475061	12	Music	atonal	0.6
594.256122769148	605.585675490254	12	Rating	atonal	0.6
612.723528894456	29.4721447675875	13	Music	discord	0.6
642.195673662043	650.972301649634	13	Rating	discord	0.6
659.093542202381	29.4742653800567	14	Music	atonal	0.28
688.567807582438	698.694987459146	14	Rating	atonal	0.28
706.816503491771	29.4739727000269	15	Music	discord	0.55
736.290476191798	745.083289523804	15	Rating	discord	0.55
