onset	duration	trial	event	music_type	valence_rating
13.1112402653453	29.4734501121893	1	Music	discord	0.52
42.5846903775346	56.8165926326219	1	Rating	discord	0.52
63.9741655773323	29.4693476311695	2	Music	tonal	0.83
93.4435132085018	105.155048148945	2	Rating	tonal	0.83
112.26215902357	29.4699673865525	3	Music	atonal	0.57
141.732126410123	157.898114046086	3	Rating	atonal	0.57
166.004765791278	29.471105361743	4	Music	tonal	0.78
195.475871153021	212.142227479631	4	Rating	tonal	0.78
220.24879794088	29.4712360263748	5	Music	atonal	0.48
249.720033967254	261.782685299646	5	Rating	atonal	0.48
283.914740634867	29.4738762286925	6	Music	tonal	0.69
313.38861686356	323.316123238663	6	Rating	tonal	0.69
331.422382712541	29.4715700395718	7	Music	atonal	0.45
360.893952752112	374.508640233387	7	Rating	atonal	0.45
381.615682862792	29.4698364445012	8	Music	discord	0.23
411.085519307293	425.283354713136	8	Rating	discord	0.23
433.389452451389	29.4716688009485	9	Music	tonal	0.55
462.861121252337	473.572478366819	9	Rating	tonal	0.55
480.679194750777	29.4704695160235	10	Music	discord	0.56
510.149664266801	525.046921918589	10	Rating	discord	0.56
547.166419300858	29.4698822187347	11	Music	tonal	0.43
576.636301519593	590.266768350197	11	Rating	tonal	0.43
597.374265670323	29.4697440637738	12	Music	discord	0.51
626.844009734097	641.591933525824	12	Rating	discord	0.51
649.697914193008	29.4727296534911	13	Music	atonal	0.78
679.170643846499	689.847912473006	13	Rating	atonal	0.78
696.956727813644	29.4858013875419	14	Music	discord	0.56
726.442529201186	740.3732589146	14	Rating	discord	0.56
747.550905109181	29.4820467906975	15	Music	atonal	0.69
777.032951899879	787.06086336308	15	Rating	atonal	0.69
