onset	duration	trial	event	music_type	valence_rating
16.1178404707971	29.4699156831848	1	Music	atonal	0.69
45.5877561539819	64.3226865308097	1	Rating	atonal	0.69
72.4808158643136	29.4701426142383	2	Music	tonal	0.81
101.950958478552	114.73082370148	2	Rating	tonal	0.81
122.837731532793	29.4712534112477	3	Music	atonal	0.7
152.30898494404	165.123037413941	3	Rating	atonal	0.7
172.229068037428	29.4705912053396	4	Music	discord	0.58
201.699659242768	215.830711650804	4	Rating	discord	0.58
223.939284013097	29.4699004249815	5	Music	tonal	0.83
253.409184438078	262.719381715517	5	Rating	tonal	0.83
285.837785075208	29.4719794241755	6	Music	atonal	0.54
315.309764499383	326.004961134589	6	Rating	atonal	0.54
334.110410004498	29.4731318344602	7	Music	discord	0.55
363.583541838958	375.412072399333	7	Rating	discord	0.55
382.519218535996	29.4709235566916	8	Music	atonal	0.69
411.990142092687	423.218897475712	8	Rating	atonal	0.69
431.366449547095	29.4808413871215	9	Music	tonal	0.7
460.847290934216	471.30772489409	9	Rating	tonal	0.7
479.414157779229	29.4716528986828	10	Music	discord	0.74
508.885810677912	517.97946634582	10	Rating	discord	0.74
541.098009803532	29.4729173873857	11	Music	atonal	0.49
570.570927190918	581.465884189147	11	Rating	atonal	0.49
588.586527175274	29.472540093695	12	Music	discord	0.52
618.059067268969	628.887393369452	12	Rating	discord	0.52
635.993638162592	29.4712314949247	13	Music	tonal	0.71
665.464869657517	674.341502111598	13	Rating	tonal	0.71
681.467729321743	29.4852601620296	14	Music	discord	0.51
710.952989483772	724.383591164558	14	Rating	discord	0.51
731.552721383316	29.4740581459519	15	Music	tonal	0.68
761.026779529268	771.605951419555	15	Rating	tonal	0.68
