onset	duration	trial	event	music_type	valence_rating
16.134789608057	29.4705184403483	1	Music	discord	0.38
45.6053080484053	55.7646435450388	1	Rating	discord	0.38
63.8782024020456	29.4806963286865	2	Music	atonal	0.24
93.3588987307321	105.388071386145	2	Rating	atonal	0.24
113.495798930113	29.4698443161469	3	Music	discord	0.3
142.96564324626	150.54120993365	3	Rating	discord	0.3
158.651375421432	29.4848209700885	4	Music	atonal	0.37
188.136196391521	197.896146589555	4	Rating	atonal	0.37
206.019200888179	29.4711215457028	5	Music	discord	0.35
235.490322433881	245.417836882472	5	Rating	discord	0.35
268.553298950224	29.4708363606514	6	Music	atonal	0.31
298.024135310876	307.285152872226	6	Rating	atonal	0.31
315.397142101774	29.4819258424541	7	Music	tonal	0.37
344.879067944228	353.739329210357	7	Rating	tonal	0.37
361.852107137476	29.4806408452132	8	Music	atonal	0.31
391.332747982689	400.260112625901	8	Rating	atonal	0.31
408.404053123206	29.4830002799135	9	Music	tonal	0.44
437.887053403119	452.201791727803	9	Rating	tonal	0.44
460.314699486251	29.4816625733729	10	Music	discord	0.47
489.796362059624	502.225031535419	10	Rating	discord	0.47
525.353658039265	29.4785685374845	11	Music	tonal	0.51
554.832226576749	565.109217552641	11	Rating	tonal	0.51
573.225618273149	29.4778114654928	12	Music	atonal	0.38
602.703429738642	614.416310532122	12	Rating	atonal	0.38
621.534184061429	29.4759613690767	13	Music	tonal	0.39
651.010145430506	660.052467946503	13	Rating	tonal	0.39
668.169632674439	29.4770874061669	14	Music	discord	0.25
697.646720080606	706.940495361998	14	Rating	discord	0.25
715.058243221238	29.4764019078539	15	Music	tonal	0.33
744.534645129092	755.92999095342	15	Rating	tonal	0.33
