onset	duration	trial	event	music_type	valence_rating
16.1176626270462	29.4699100711659	1	Music	atonal	0.33
45.5875726982122	60.9701766728795	1	Rating	atonal	0.33
68.1263986186677	29.4713099382207	2	Music	tonal	0.61
97.5977085568884	110.977399887037	2	Rating	tonal	0.61
119.082957797589	29.4724634553131	3	Music	atonal	0.43
148.555421252902	160.834911952083	3	Rating	atonal	0.43
167.947844826154	29.4817157276702	4	Music	discord	0.28
197.429560553825	207.339831738533	4	Rating	discord	0.28
215.444628682904	29.4732283053927	5	Music	tonal	0.48
244.917856988297	254.979562107383	5	Rating	tonal	0.48
278.111080533137	29.4756199530166	6	Music	discord	0.33
307.586700486154	324.036408195243	6	Rating	discord	0.33
332.140967389703	29.4727045342806	7	Music	atonal	0.28
361.613671923984	370.357760356965	7	Rating	atonal	0.28
377.47568653409	29.4751228143396	8	Music	discord	0.2
406.950809348429	416.729170666156	8	Rating	discord	0.2
424.845700582697	29.477386293398	9	Music	tonal	0.43
454.323086876095	465.101453742245	9	Rating	tonal	0.43
473.20707324029	29.4733070929942	10	Music	atonal	0.51
502.680380333284	511.840549149594	10	Rating	atonal	0.51
534.969841548143	29.4776847985449	11	Music	tonal	0.51
564.447526346688	573.824027333751	11	Rating	tonal	0.51
581.944306042122	29.4744503455004	12	Music	discord	0.24
611.418756387622	620.295604428531	12	Rating	discord	0.24
628.40031259814	29.4732951638834	13	Music	atonal	0.28
657.873607762023	666.983896257811	13	Rating	atonal	0.28
675.106116081883	29.4731891890078	14	Music	discord	0.23
704.57930527089	719.527638635667	14	Rating	discord	0.23
727.692794374343	29.4789656519351	15	Music	tonal	0.6
757.171760026278	768.533820965717	15	Rating	tonal	0.6
