onset	duration	trial	event	music_type	valence_rating
17.1180885277654	29.4698567999303	1	Music	atonal	0.93
46.5879453276957	62.9547815241149	1	Rating	atonal	0.93
70.1608316084912	29.4700121536544	2	Music	tonal	0.83
99.6308437621456	114.195358141659	2	Rating	tonal	0.83
121.302237620735	29.4696914591796	3	Music	atonal	1.03
150.771929079915	165.037051031202	3	Rating	atonal	1.03
173.142234935335	29.4716447548562	4	Music	discord	0.61
202.613879690191	220.531761652986	4	Rating	discord	0.61
227.638187277252	29.4700765144835	5	Music	atonal	0.5
257.108263791735	271.455457728945	5	Rating	atonal	0.5
293.574814054075	29.4695627375213	6	Music	discord	0.48
323.044376791596	335.123606359183	6	Rating	discord	0.48
342.2298011722	29.4711248747117	7	Music	tonal	0.65
371.700926046911	389.934513411326	7	Rating	tonal	0.65
397.04199682801	29.4690442444635	8	Music	atonal	0.53
426.511041072474	440.559300874947	8	Rating	atonal	0.53
448.663191736736	29.4729056167862	9	Music	tonal	0.82
478.136097353522	489.932560947902	9	Rating	tonal	0.82
497.038924985512	29.4703469964152	10	Music	discord	0.56
526.509271981928	539.771957376486	10	Rating	discord	0.56
561.88997765958	29.4708649346385	11	Music	tonal	0.53
591.360842594218	609.244683781654	11	Rating	tonal	0.53
616.352109772943	29.470107585229	12	Music	discord	0.43
645.822217358172	660.90303735952	12	Rating	discord	0.43
669.009441345231	29.4710838169403	13	Music	atonal	0.41
698.480525162171	711.52719702764	13	Rating	atonal	0.41
719.63375165098	29.4717637669064	14	Music	tonal	0.82
749.105515417887	760.449998432592	14	Rating	tonal	0.82
768.64412317664	29.4834474767085	15	Music	discord	0.46
798.127570653349	811.625462974907	15	Rating	discord	0.46
