onset	duration	trial	event	music_type	valence_rating
18.1149543589308	29.4741153643845	1	Music	atonal	0.61
47.5890697233153	55.5483370359616	1	Rating	atonal	0.61
63.656628608398	29.469501321626	2	Music	tonal	0.73
93.126129930024	104.488091486328	2	Rating	tonal	0.73
112.596156406951	29.4698519800004	3	Music	atonal	0.53
142.066008386952	152.227754554675	3	Rating	atonal	0.53
160.334709519488	29.4709960584223	4	Music	discord	0.66
189.80570557791	200.183125231648	4	Rating	discord	0.66
208.295859124111	29.4815124805536	5	Music	tonal	0.66
237.777371604665	248.455443915747	5	Rating	tonal	0.66
271.579773669997	29.4825159072388	6	Music	discord	0.51
301.062289577236	310.106822635666	6	Rating	discord	0.51
317.217907268616	29.4815424418703	7	Music	tonal	0.64
346.699449710486	359.062316486936	7	Rating	tonal	0.64
367.229503685245	29.4774130511469	8	Music	atonal	0.34
396.706916736392	406.28416921708	8	Rating	atonal	0.34
413.398955459732	29.4789308137697	9	Music	discord	0.48
442.877886273502	453.272521200408	9	Rating	discord	0.48
461.388466779561	29.4784633617455	10	Music	atonal	0.49
490.866930141307	498.993092806846	10	Rating	atonal	0.49
521.122082100668	29.4769616894628	11	Music	tonal	0.64
550.599043790131	561.911020160638	11	Rating	tonal	0.64
570.025945390509	29.4803351117771	12	Music	atonal	0.53
599.506280502286	607.598353292749	12	Rating	atonal	0.53
615.721054039121	29.4720566335454	13	Music	discord	0.56
645.193110672666	653.435666950005	13	Rating	discord	0.56
661.552370439502	29.4777684256551	14	Music	tonal	0.7
691.030138865157	702.19194939423	14	Rating	tonal	0.7
710.315845541645	29.4714729427142	15	Music	discord	0.54
739.787318484359	747.945872107346	15	Rating	discord	0.54
