onset	duration	trial	event	music_type	valence_rating
15.1281755013733	29.4748330428301	1	Music	tonal	0.58
44.6030085442035	54.0468656328048	1	Rating	tonal	0.58
61.1856526552947	29.472102416119	2	Music	atonal	0.47
90.6577550714137	98.6498569770811	2	Rating	atonal	0.47
106.771273185568	29.4736124030314	3	Music	tonal	0.59
136.2448855886	146.521693127273	3	Rating	tonal	0.59
154.638465356162	29.4776111080464	4	Music	atonal	0.31
184.116076464208	196.679904135392	4	Rating	atonal	0.31
204.793578990793	29.4799364268583	5	Music	discord	0.46
234.273515417652	242.366955671634	5	Rating	discord	0.46
264.494701174895	29.4779806289989	6	Music	tonal	0.64
293.972681803894	301.898444433289	6	Rating	tonal	0.64
310.013850377858	29.478245840739	7	Music	atonal	0.48
339.492096218597	349.420422191564	7	Rating	atonal	0.48
357.567186095137	29.4801417162817	8	Music	discord	0.53
387.047327811419	396.45851281131	8	Rating	discord	0.53
404.575286704709	29.4775805920508	9	Music	atonal	0.43
434.052867296759	444.363328706924	9	Rating	atonal	0.43
452.506410439579	29.4855899310533	10	Music	tonal	0.68
481.992000370632	494.120282677985	10	Rating	tonal	0.68
517.253521060338	29.4733444171106	11	Music	discord	0.52
546.726865477449	555.787681636059	11	Rating	discord	0.52
562.909104225164	29.471426625536	12	Music	tonal	0.5
592.3805308507	600.006331236702	12	Rating	tonal	0.5
608.128102262985	29.4724539048948	13	Music	discord	0.52
637.600556167879	647.779017035416	13	Rating	discord	0.52
655.917691703562	29.4715731023134	14	Music	atonal	0.49
685.389264805875	691.613870851317	14	Rating	atonal	0.49
698.737447037412	29.4705721776772	15	Music	discord	0.47
728.20801921509	735.283330471306	15	Rating	discord	0.47
