onset	duration	trial	event	music_type	valence_rating
13.1136629327957	29.4701575017643	1	Music	tonal	0.71
42.58382043456	57.8659764671174	1	Rating	tonal	0.71
66.0761650619861	29.4840142948378	2	Music	discord	0.3
95.5601793568239	112.910358486162	2	Rating	discord	0.3
120.016940025936	29.4707420232371	3	Music	atonal	0.71
149.487682049174	158.380923238768	3	Rating	atonal	0.71
166.525962518499	29.4827700713904	4	Music	tonal	0.76
196.008732589889	207.053511040438	4	Rating	tonal	0.76
214.179886413636	29.4838447919319	5	Music	discord	0.62
243.663731205568	256.310458578875	5	Rating	discord	0.62
279.427990117234	29.4723968265498	6	Music	tonal	0.33
308.900386943784	320.64580245893	6	Rating	tonal	0.33
328.750931433719	29.4731017477934	7	Music	atonal	0.79
358.224033181512	367.667230566673	7	Rating	atonal	0.79
375.772830043796	29.472165181829	8	Music	tonal	0.68
405.244995225625	415.923243758494	8	Rating	tonal	0.68
424.027768792494	29.4730842704048	9	Music	atonal	0.58
453.500853062898	463.929064560358	9	Rating	atonal	0.58
471.036007022027	29.4698700958579	10	Music	tonal	0.6
500.505877117885	512.835122222416	10	Rating	tonal	0.6
534.955398820082	29.4692151100062	11	Music	discord	0.33
564.424613930089	574.935547283545	11	Rating	discord	0.33
583.041595346913	29.4719571177047	12	Music	atonal	0.84
612.513552464618	623.524999597743	12	Rating	atonal	0.84
630.654337249194	29.4809047071867	13	Music	discord	0.53
660.135241956381	669.462274368332	13	Rating	discord	0.53
677.567982871053	29.4724950328164	14	Music	atonal	0.72
707.040477903869	716.733789724298	14	Rating	atonal	0.72
724.841806629091	29.4699169796404	15	Music	discord	0.34
754.311723608731	765.607006268001	15	Rating	discord	0.34
