onset	duration	trial	event	music_type	valence_rating
14.1097565475175	29.4745438369537	1	Music	atonal	0.41
43.5843003844711	58.2656202882517	1	Rating	atonal	0.41
65.4358988727727	29.4730213746716	2	Music	tonal	0.52
94.9089202474443	107.989094198747	2	Rating	tonal	0.52
115.09786064643	29.4683790853396	3	Music	atonal	0.36
144.56623973177	157.362690019965	3	Rating	atonal	0.36
164.479889654775	29.4752509718583	4	Music	discord	0.32
193.955140626633	211.972399267952	4	Rating	discord	0.32
220.077691905011	29.4721810798001	5	Music	tonal	0.64
249.549872984811	262.880199307179	5	Rating	tonal	0.64
286.013769017947	29.4724376901522	6	Music	discord	0.37
315.486206708099	331.202335736778	6	Rating	discord	0.37
338.307346795991	29.4708489253007	7	Music	tonal	0.68
367.778195721292	381.592098010173	7	Rating	tonal	0.68
388.698951393006	29.4705765022045	8	Music	discord	0.21
418.16952789521	429.447982030062	8	Rating	discord	0.21
436.553207532304	29.4714237324897	9	Music	atonal	0.6
466.024631264794	479.754469666852	9	Rating	atonal	0.6
487.876523814688	29.4727131648324	10	Music	tonal	0.65
517.34923697952	527.442775197957	10	Rating	tonal	0.65
549.564738630566	29.4833373882393	11	Music	atonal	0.69
579.048076018806	588.942203858476	11	Rating	atonal	0.69
597.064473281591	29.4717202908323	12	Music	discord	0.34
626.536193572423	640.416998757451	12	Rating	discord	0.34
648.526877645689	29.4686301473594	13	Music	tonal	0.5
677.995507793048	690.741548434025	13	Rating	tonal	0.5
697.897427155256	29.4699362246974	14	Music	discord	0.32
727.367363379954	740.297366733923	14	Rating	discord	0.32
747.47304606475	29.4683180536886	15	Music	atonal	0.54
776.941364118438	788.536056806041	15	Rating	atonal	0.54
