onset	duration	trial	event	music_type	valence_rating
17.1007679744944	29.4704280022888	1	Music	tonal	1.06
46.5711959767832	59.785381880265	1	Rating	tonal	1.06
67.8962187180732	29.4826915143822	2	Music	atonal	0.27
97.3789102324554	106.372406182301	2	Rating	atonal	0.27
114.484233677525	29.4822531949467	3	Music	discord	n/a
143.966486872472	171.058638818402	3	Rating	discord	n/a
179.171038625653	29.4817494050076	4	Music	atonal	0.12
208.65278803066	219.146670006772	4	Rating	atonal	0.12
227.260016916913	29.4807995279443	5	Music	discord	0.62
256.740816444857	268.120262925084	5	Rating	discord	0.62
291.245564304376	29.4810197973347	6	Music	atonal	0.74
320.726584101711	331.220394226722	6	Rating	atonal	0.74
339.335828425126	29.479134191497	7	Music	tonal	0.31
368.814962616623	382.011467601675	7	Rating	tonal	0.31
389.147152990408	29.4752106776832	8	Music	discord	0.53
418.622363668092	430.234462893626	8	Rating	discord	0.53
437.351065573977	29.4768255241725	9	Music	atonal	0.12
466.82789109815	476.238291253281	9	Rating	atonal	0.12
484.355633250914	29.4761916254902	10	Music	tonal	1.04
513.831824876404	523.460153295287	10	Rating	tonal	1.04
546.59226887735	29.4733364459571	11	Music	discord	0.71
576.065605323307	585.526634147805	11	Rating	discord	0.71
593.645748564992	29.4743251614491	12	Music	atonal	n/a
623.120073726441	659.43548534307	12	Rating	atonal	n/a
666.554858035826	29.4740768729062	13	Music	tonal	0.7
696.028934908732	705.823033520064	13	Rating	tonal	0.7
713.943717009875	29.4734271614325	14	Music	discord	1.12
743.417144171308	757.381984016876	14	Rating	discord	1.12
765.502674996955	29.4727741209572	15	Music	tonal	0.84
794.975449117912	804.436073190471	15	Rating	tonal	0.84
