onset	duration	trial	event	music_type	valence_rating
15.1004009513199	29.4700582049372	1	Music	discord	0.81
44.5704591562571	59.501201910738	1	Rating	discord	0.81
67.7023450367378	29.4764709847805	2	Music	tonal	0.79
97.1788160215183	114.078691377897	2	Rating	tonal	0.79
122.184543303047	29.4723208209798	3	Music	discord	0.65
151.656864124026	164.335690548694	3	Rating	discord	0.65
171.455662462962	29.4734698837092	4	Music	atonal	0.47
200.929132346671	214.343512053922	4	Rating	atonal	0.47
221.448575558919	29.4710017014004	5	Music	tonal	1.11
250.91957726032	263.532388616233	5	Rating	tonal	1.11
286.650071004973	29.472829049595	6	Music	discord	0.65
316.122900054568	327.017741672833	6	Rating	discord	0.65
335.122932234983	29.4723782463734	7	Music	atonal	0.74
364.595310481356	381.110642090818	7	Rating	atonal	0.74
389.217150662877	29.4709867208621	8	Music	tonal	1
418.688137383739	429.399589200362	8	Rating	tonal	1
436.506267829267	29.4699655475379	9	Music	atonal	0.13
465.976233376805	476.254046895185	9	Rating	atonal	0.13
484.359774814777	29.4717021802498	10	Music	discord	0.9
513.831476995027	525.060117730383	10	Rating	discord	0.9
548.178092794446	29.4724051558551	11	Music	tonal	0.58
577.650497950301	592.164192242468	11	Rating	tonal	0.58
599.270121012229	29.4707692256488	12	Music	discord	0.48
628.740890237877	640.069511359823	12	Rating	discord	0.48
648.175619341207	29.4713512472808	13	Music	atonal	0.36
677.646970588488	688.159017021499	13	Rating	atonal	0.36
695.265396871899	29.4702781969063	14	Music	tonal	0.86
724.735675068805	735.162860084274	14	Rating	tonal	0.86
743.270331294592	29.4701317205399	15	Music	atonal	0.23
772.740463015132	783.068281568641	15	Rating	atonal	0.23
